id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRatio,Class
1,285.0,26.431585518419695,13.88394175069856,0.8509304147177147,301.0,19.04923279949934,0.782967032967033,66.62741699796952,0.8067681975372778,1.9037522623638068,Arborio
2,274.0,27.916181503159105,12.61192787467687,0.8921301896678528,286.0,18.677998695187732,0.6342592592592593,66.5269119345812,0.7779751005681685,2.213474560000554,Arborio
3,285.0,26.881786525523655,13.706938372101451,0.8602355482962947,304.0,19.04923279949934,0.6447963800904978,67.94112549695429,0.7758705187218959,1.961180957830653,Arborio
4,275.0,26.76768012500857,13.21019471949124,0.8697384918912084,287.0,18.712051592547777,0.6610576923076923,65.94112549695427,0.794748737802337,2.026289596285335,Arborio
5,329.0,29.68089082284446,14.316389343299678,0.8759820769435355,348.0,20.466944330257718,0.709051724137931,73.11269837220809,0.7734284380699054,2.0732106476788186,Arborio
6,299.0,27.5204612670273,13.891296656251471,0.8632582608803943,313.0,19.511499785403828,0.6644444444444444,67.94112549695427,0.8139834564836735,1.9811297640557064,Arborio
7,327.0,29.735123483458135,14.117066781018751,0.880114945859417,340.0,20.404639941160397,0.7785714285714286,72.2842712474619,0.7864479828022235,2.1063244896906492,Arborio
8,295.0,29.05574442133354,12.971021286946739,0.8948243067114061,309.0,19.38054864282415,0.7023809523809523,69.698484809835,0.7631065935291036,2.2400506312154085,Arborio
9,270.0,25.850522960204113,13.367101647048747,0.8559297531786386,277.0,18.5411616971131,0.6818181818181818,63.698484809834994,0.8362101298939707,1.9338914031458359,Arborio
10,305.0,27.920678628767664,14.128616961488849,0.8625176436042873,328.0,19.706294962377495,0.61,71.01219330881976,0.7600529519551357,1.9761791762684628,Arborio
11,201.0,21.939092034078246,11.766957786344783,0.843997812043996,214.0,15.99753570059363,0.7613636363636364,55.21320343559643,0.8285524974398201,1.8644659420413605,Arborio
12,313.0,28.98106715298101,13.923473756064237,0.8770311914415199,330.0,19.963065333312567,0.6688034188034188,71.698484809835,0.7651282650053449,2.081453785220702,Arborio
13,273.0,24.682055053698424,14.164447680572856,0.8189419601982101,286.0,18.643883600599406,0.7109375,63.698484809834994,0.8455013535594593,1.7425356505464675,Arborio
14,292.0,26.440605554469972,14.266385988340796,0.8419449012155944,315.0,19.281751659604673,0.6488888888888888,68.52691193458118,0.7813945766792377,1.8533499357215315,Arborio
15,318.0,27.91650035693037,14.779966795823375,0.8483506303817252,338.0,20.12188299403865,0.7571428571428571,71.4558441227157,0.7826389826941234,1.8888067031936233,Arborio
16,302.0,27.40506872431914,14.170172707108321,0.8559467774667355,314.0,19.60913925979463,0.6622807017543859,68.18376618407356,0.8163094698057592,1.9339968037631377,Arborio
17,263.0,26.636667203586885,12.705757564268305,0.8789019224761884,269.0,18.29923496393627,0.842948717948718,63.21320343559643,0.8270847505048142,2.0964249529280883,Arborio
18,275.0,26.58962303689245,13.460152135703703,0.8624054122195703,293.0,18.712051592547777,0.6111111111111112,67.59797974644665,0.7562669552269287,1.9754325782367788,Arborio
