id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRatio
1.0,-0.9937455329785304,-1.23375821475513,-1.030907182271962,-0.5447473964803555,-0.9944166121311543,-1.1360102370565226,1.2939173625537075,-1.1961112650746113,1.055242600275976,-0.7254611990861302
2.0,-0.9959231879640682,-1.2104877360363162,-1.0702735894881026,0.058393846848168146,-0.9973187981088196,-1.144406525523523,0.06786783159434062,-1.1967231543252221,0.8199005044536174,-0.3998459249398386
3.0,-0.9937455329785304,-1.226701484801196,-1.036385099778868,-0.40852553986305606,-0.9938361749356213,-1.1360102370565226,0.15474312890185973,-1.1881132191865262,0.80269857917747,-0.6650856285799582
4.0,-0.9957252193290193,-1.2284900593306716,-1.0517583698974662,-0.269407857253047,-0.9971253190436419,-1.1436363431883025,0.28881261107872147,-1.2002895062308228,0.9570008290726847,-0.5966360293051343
5.0,-0.9850349130363792,-1.1828265870834995,-1.0175237527741499,-0.1780053276070621,-0.985323096067803,-1.1039455241516754,0.6845085370357997,-1.1566279412867322,0.7827380872782037,-0.5473072882706733
6.0,-0.9909739720878459,-1.216690500578432,-1.0306795619507612,-0.3642747489690518,-0.9920948633490221,-1.125555036638926,0.3167353333763487,-1.1881132191865262,1.1142169497239551,-0.6441131766208154
7.0,-0.985430850306477,-1.181976510707403,-1.0236924065145134,-0.11750248021395486,-0.9868709285892244,-1.105354677075789,1.2576769658808067,-1.1616715245198277,0.8891541128708648,-0.5124942547015984
8.0,-0.9917658466280415,-1.1926255197103155,-1.0591603321860195,0.09783418615312436,-0.9928687796097327,-1.1285167892241879,0.6295100902171906,-1.1774141634697246,0.6983718751409337,-0.3719061389432056
9.0,-0.9967150625042637,-1.2428661498662632,-1.0469023992813429,-0.4715599283742547,-0.9990601096954188,-1.1475013998776005,0.4599764163875216,-1.213943024602614,1.2958879908471237,-0.693775509475936
10.0,-0.9897861602775526,-1.2104172452988728,-1.023334950423525,-0.37511696413363355,-0.9891926773713567,-1.1211493086121755,-0.13214224652494297,-1.1694161175816395,0.6734127535612403,-0.6493177970560517
11.0,-1.010374898322637,-1.304176345409126,-1.0964238046781856,-0.6462367517302267,-1.011249290801613,-1.205031183296991,1.1158040493601888,-1.2656026354347893,1.2332978751422872,-0.7667634432564727
